Наименование НКО,Учетный номер,ОРГН,Форма,Вид отчета,Период,URL
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0003,01.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14057101
"Отделение ""Россия без нацизма"" Международного правозащитного движения ""Мир без нацизма"" (Франция)",0016030002,1127799015520,Движение,СП0002,27.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=13639801
"Отделение ""Россия без нацизма"" Международного правозащитного движения ""Мир без нацизма"" (Франция)",0016030002,1127799015520,Движение,СП0001,27.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=13639701
"Отделение международной неправительственной некоммерческой организации ""Совет Гринпис"" - ГРИНПИС",0016020055,1037739393713,Организация,СП0002,25.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=13354201
"Представительство некомерческой корпорации ""ФОНД ЕВРАЗИЯ"" (США) в Российской Федерации",0016050116,,Корпорация,СП0003,24.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=13294601
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0002,20.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=13112901
Представительство Некоммерческой корпорации Американского Фонда гражданских исследований и развития (США) в Российской Федерации,0016050035,,Корпорация,СП0002,20.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=13090001
"Представительство Некоммерческой организации ""Еврейское агентство для Израиля"" в Российской Федерации""",0016020129,,Организация,СП0002,20.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=13088701
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0003,14.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=12771101
"Филиал некоммерческой ассоциации ""Медесан сон фронтиер"" (Нидерланды) в Российской Федерации",0016100024,,Ассоциация,СП0003,07.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=12433201
"Филиал некоммерческой ассоциации ""Медесан сон фронтиер"" (Нидерланды) в Российской Федерации",0016100024,,Ассоциация,СП0003,07.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=12431601
"Филиал некоммерческой ассоциации ""Медесан сон фронтиер"" (Нидерланды) в Российской Федерации",0016100024,,Ассоциация,СП0003,07.03.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=12431301
"Представительство некоммерческой корпорации ""Смоул Уорлд Эдопшн Фондэйшн оф Миссури, Инк"" (США) в Российской Федерации",0016050036,,Корпорация,СП0002,02.02.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11537201
"Представительство организации ""Право на здоровье"" (США) в Росийской Федерации",0016050104,,Корпорация,СП0001,31.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11505801
"Представительство некоммерческой корпорации ""Смоул Уорлд Эдопшн Фондэйшн оф Миссури, Инк"" (США) в Российской Федерации",0016050036,,Корпорация,СП0001,30.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11477501
"Филиал Ассоциации ""Врачи Без Границ"" (Франция) в Российской Федерации",0016100043,,Ассоциация,СП0001,30.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11462201
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0001,29.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11446101
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0001,28.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11405601
"Представительство Корпорации ""Американский Центр по Образованию и Тестированию, Инк."" в Россиской Федерации",0016050092,,Корпорация,СП0001,28.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11405501
"Представительство некоммерческой ассоциация "" Н.А.А.А. Нэтворк Аюто Ассистенца Аккольенца-Онлус"" (Италия) в Российской Федерации",0016100052,,Ассоциация,СП0003,17.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11207701
"Представительство некоммерческой ассоциация "" Н.А.А.А. Нэтворк Аюто Ассистенца Аккольенца-Онлус"" (Италия) в Российской Федерации",0016100052,,Ассоциация,СП0003,17.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11207601
"Представительство некоммерческой ассоциация "" Н.А.А.А. Нэтворк Аюто Ассистенца Аккольенца-Онлус"" (Италия) в Российской Федерации",0016100052,,Ассоциация,СП0003,17.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11207501
"Представительство некоммерческой ассоциация "" Н.А.А.А. Нэтворк Аюто Ассистенца Аккольенца-Онлус"" (Италия) в Российской Федерации",0016100052,,Ассоциация,СП0003,17.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11207401
"Представительство некоммерческой ассоциация "" Н.А.А.А. Нэтворк Аюто Ассистенца Аккольенца-Онлус"" (Италия) в Российской Федерации",0016100052,,Ассоциация,СП0002,17.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11207201
"Представительство некоммерческой ассоциация "" Н.А.А.А. Нэтворк Аюто Ассистенца Аккольенца-Онлус"" (Италия) в Российской Федерации",0016100052,,Ассоциация,СП0001,17.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11207001
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0003,16.01.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=11173001
